课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
高等数学B,康肖松,老师很水，高数下内容,完全不考勤，老师亲口说作业少交几次也无所谓,期末考试+平时成绩（只要不是完全不交作业就是满分）,80
线性代数C,刘艳,老师讲的很清晰，给分好,考勤一般在上课结束后，而且不是每节课都有,平时成绩和期末成绩，课程组统一考试,88
python程序设计,蒋华,基础python内容 ,几乎不签到 大作业结课（可能是因为疫情）,大作业结课 用python做一个题目的实验报告和程序,93
线性代数A,黄正华,我宣布黄正华是全数院最好的老师,作业比较轻松 不签到 没有别的要求,期末60%+4平时0%,96
高等数学,李大美,就和标题一样，高等数学捏。老师人给分很好又幽默，就是可能快退休了,就是课本课后习题捏，，,期末考试+平时作业。。,97
线性代数B,杜光保,老师讲得很细，也很全，整体还是不错的。但是由于讲的太细可能导致之后的进度有点赶（雾），杜老师比较强调线性方程组和前面几章，有专门的习题课，但后面的会讲的比较赶，没有习题课，但会提供例题，不一定讲。,平时不点名，不提问。作业按时交就行，尽量别拖拉。不过只要期末过90，作业交不交都无所谓。,闭卷考试，线代B上到二次型,90
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,75
中国近现代史纲要,李勤,老师很没有人情味感觉,没有签到 因为老师不会用,考试考试考试考试考试,70
程序设计基础,蔡磊,讲授C语言的使用，有随课实验,有期中测试，无签到，有随课实验,期末考试，期末占百分之六十,80
大学物理,石瑛,老师讲课不太细致，很多东西讲不透,有签到，上课不提问，平时作业,平时作业计入平时成绩，期末考,91
大学英语,黄春妮,讲得很好，一般讲课文比较多,作业不多，给分较好，会有口语考试,会有期末考试，平时分就是清华社,80
思想道德与法治,雷山漫,不想每节课签到每节课点名提问的同学退退退,签到提问展示该有的都有,期末考试结课，平时分占比高,88
高等数学B2,邓昌松,老师上课很认真，也讲得很好,有作业，不签到，不提问,期末考试，作业平时分,90
限行代数,刘丁酉,教的是高等代数，老头上课一般般,没签到，正常作业，不提问,考试，刘爷爷的卷子非常简单,95
线性代数c,刘艳,经管类线性代数讲解，老师的风格很干练，没有一点多余的地方，思路也很清晰，认真听肯定能跟得上！,不定时签到，每周一次作业8道题，会有一次课堂作业一道题很简单,公共课采取统一闭卷考试,90
无机及分析化学实验,余琼卫,很差，做的基础化学实验,实验报告和期末笔试可能会有操作考试,实验报告和期末笔试可能会有操作考试,90
线性代数B,张晓平,老师讲课很详细，给分也不错,无签到，无提问，无小组展示，作业，考试,考试，难度不大，有原题,90
线代b,陈玉蓉,很不错，讲的很好，老师也很好,一周一次课一次作业，无签到，很少提问,闭卷考试，有期中考试，作业也会关系平时分,88
高等数学B,程学光,授课比较清晰易懂，讲课速度比较慢,不签到，不提问，作业有点多,期末考占60%，其他作业、平时成绩40%,4
大学物理B,祁宁,大物 老师很好，讲的很精，听了就能高分，不用听网课什么的，做好预习复习，轻轻松松90+，老师平时上课呀的是智慧课堂，参与就有平时分,有签到，提问，但不是点名，在智慧课堂上提交答案,闭卷考试，平时分。。。,90
高数B,程学光,上课节奏适中，可以慢慢听,签到提问少，并不会过重处理,考试和平时分，考试占比大,89
军事理论,陆保生,超级好啊超级好真的是希望再上一次,无考勤，作业论文一篇读书笔记,闭卷考试，背一下就行，全是原题,94
高等数学A,李大美,主要讲的就是高等数学,没有签到 但是每两周都要上交一次作业,闭卷考试 老师会捞 放心放心,81
微积分,李珊娜,她真好啊 很温柔 平时只来一半人 ,期中很水 无签到提问 交作业就好,考试 求求她的话应该会加平时分,90
高等数学C2,杨乔华,高等数学下册书本内容,三次签到和平时作业，只要平时作业不超过3次不交一搬没事，有期中考试但是算签到不算卷面分,期末考试。。。。。。。。,1.11E+13
马克思主义基本原理,向德忠,老师不按课本走，随性讲有时候还讲自己的经历,三次签到，一次小组作业报告或者微电影,期末考试占40%。。。。。。。,1.11E+12
习近平新时代中国特色社会主义思想概论,任艳,就是思政课，上课基本没听，反正跟考试内容有关系但不多,事情很多很多，这个老师真的很多事，迟到两分钟都要被记录在案，每节课都签到，每节课都点人开火车回答问题，小组展示的要求也很多,签到考勤+小组展示+开卷考试,83
高等数学B1,赵燕芬,高等数学上册内容，必修,选做课后作业，助教批改，无期中,考试，全校统一闭卷考试,98
高等数学C2,童欣,特别好特别好，选到就是赚到,正常平时作业，会有期中考试但占比不大,学校组织的统一期末考试,92
马克思主义基本原理,谭兴林,老师很能捞 ，主要是背的东西很多,不太查考勤，比较能捞,考试，慕课，微视频/论文,90
习思想,李美幸,习近平新时代中国特色社会主义概论,有三次签到，没到也没关系,开卷期末考试，简答题四个,90
高等数学A1（重修）,刘丁酉,课堂管的不严 讲课一般 给分较好,每一章有平时作业 每节课在纸上签到,考核方式为期末考试结课,78
高数B,程学光,上课节奏适中，可以慢慢听,签到提问少，并不会过重处理,考试和平时分，考试占比大,89
大学生军事理论,陆保生,讲的就是一些没意思的军理,一次平时作业，小作文,考试，闭卷，出的题都是能背到的,90
军事理论,何华,军事理论与国家安全等教育,一次中期论文，没有签到，好像班长有一次签到,期末考试占大部分。。。。,93
大学语文,张登雄,主要讲解大学语文这本书，从古代文学到现代文学，每节课讲1到2篇，讲解很细致，旁征博引，认真听，可以学到很多东西,每个学期有一次签到，由于疫情两个学期都是以论文结课，给分很严,期末论文，可能会是闭卷考试,84
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,75
军事理论,戴新武,按教材和PPT上课，PPT会上传学习通,一次考勤，一次论文，无提问,全校统一闭卷考试，会发题库,94
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,75
高等数学C1,周明春,老师讲的很仔细，版书很详细,偶尔点名，每节课课后会布置书上的课后习题,由课程组统一统一考试,90
军事理论与训练,何华,何华老师真的很好！！期末会大捞！上课很认真，人真的很好！,有一次期中论文，题材字数全不限,全校组织的统一闭卷考试,91
无机及分析化学实验,余琼卫,很差，做的基础化学实验,实验报告和期末笔试可能会有操作考试,实验报告和期末笔试可能会有操作考试,90
电路原理,王羽,老师人很憨厚，讲课也挺好的，大家都很喜欢他,平时分40，期末60,平时每次提交作业加闭卷考试（我们没有期中）,95
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,75
高数c2,杨乔华,乔华老师人很好，会捞,有三次签到，有作业不多，考试,期末就是闭卷考试高数都这样,90
高等数学A1（重修）,刘丁酉,课堂管的不严 讲课一般 给分较好,每一章有平时作业 每节课在纸上签到,考核方式为期末考试结课,78
高等数学,周明春,老师上课管得比较严 不能玩手机,没有提问，作业平时交给助教和qq群拍照,闭卷考试，就大家一起考,95
马克思主义基本原理,胡建兰,老师考试很能捞 稍微有听课不复习也能过,只留过一次课堂作业 有一次小组作业 考勤查得非常松,平时成绩+期末闭卷考试,90
高数,彭彦泽,讲的特别好这个老师啊啊啊啊特别喜欢,作业正常量，平时不提问，讲的很好,考试结课，两学期给分都还可以,91
高等数学,张灿,老师上课念ppt 很无聊，但是作业布置得很少，作业可以完成的很轻松,签到随机，平时作业很少,期末统一公共闭卷考，有点雷，给分不是很好,83
马克思主义基本原理,龚玉敏,老师非常好，讲课很深入，例子很有趣很深刻，很吸引人,三次签到，小组作业两次,全校统一的闭卷考试，老师会划重点,93
素质体育2,蔺志华,大傻逼一个，屁事多，给人低,天天搞太极，祝她早点超生,跟其他老师差不多，不过算上太极,74
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,0
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,0
高等数学,雷玲,讲授内容超好，老师人也很好,无签到无提问无小组展示，最重要的无期中考试！,平时0.2+期末0.8,80
高等数学b2,康肖松,老师超级好，康师傅永远的神,考勤无 平时作业有就行,是使用闭卷考试的方式,91
高等数学A,湛少峰,很好，讲课认真负责，乐于解决问题,每天课后小作业，帮助复习,期中考试，阶段测试，期末考试,86
高等数学,周明春,老师上课管得比较严 不能玩手机,没有提问，作业平时交给助教和qq群拍照,闭卷考试，就大家一起考,95
高等数学,周明春,老师上课管得比较严 不能玩手机,没有提问，作业平时交给助教和qq群拍照,闭卷考试，就大家一起考,95
高等数学,周明春,老师上课管得比较严 不能玩手机,没有提问，作业平时交给助教和qq群拍照,闭卷考试，就大家一起考,95
大学物理,邹勇,讲的比较抽象，不建议想听课的去,偶尔考勤，管得不严，平时作业同学互评你懂得,"考试60%，如果你期末大于85,总评85以上计入",97
高等数学B2,彭彦泽,讲的还可以，考试不捞人，建议成绩不好的速run,手写考勤，平时作业多，无提问,期末60%，当班长和学习委员平时成绩计满,96
线性代数,黄正华,讲课的神，如果不是他的课，可以去听,不考勤，但作业要准时交，有期中考试,考试60%，期中15%，不怎么捞人,99
马原,彭雄年,众所周知思政课狗都不听,用笔签到一张表，无作业，不点人,考试40%，给分一般，满绩比较少,87
中国近现代史纲要,万军杰,讲课很好，有趣，为数不多听了部分的思政课,被迫考勤两次，上课前考勤，然后可以直接run，不点名,考试40%，只要你能满，都给你满,93
大学生心理健康,马鑫,讲课还可以，两次线上文章作业，不限字数,会考勤，这课基本都要去，作业不能抄袭，要求发言，正态分布给成绩，慎选,考试40%，给分不太好，正态分布很搞人心态,92
马克思主义基本原理,沈云龙,马原，老师给分很不好,签到提问小组作业小作业,期末考试，作业，签到，实践,85
高等数学b,雷玲,非常好老师，爱来自土建,几乎无考勤，作业适量,期末考试和平时成绩结课,82
马克思主义基本原理,胡建兰,老师考试很能捞 稍微有听课不复习也能过,只留过一次课堂作业 有一次小组作业 考勤查得非常松,平时成绩+期末闭卷考试,90
线性代数,饶胜,避雷，老师思路不清晰，绕不明白，只能说全靠自学,勾题写课后作业 ，会在QQ群签到,参加期末考试       ,79
概率论与数理统计,余月力,概率论的课本内容以及老师上课自编的段子,无签到无提问，作业极少，最后期末考试,参加学校统一的概率论与数理统计期末考试,96
高等数学A,胡新启,老师教得很好，就是讲得太快,不点名，作业不少，而且助教查得非常严,统一考试，闭卷，会结合平时成绩，有期中考试,3
大物D,毛力,老师性格感觉可以，但讲课时候一些内容的推导和ppt还有书上都不太一样，不不认真听可能不太能跟上老师思路,会不定时签到，而且作业要根据好坏给平时分（不过大多数人分都差不多）,60%的期末成绩+10%签到+15%作业+15%期中考,91
马克思主义基本原理,田超伟,老师几乎每节课都会点名，本人被点过两次（开头一次期末一次），老师很有水平的，请假很严格（只允许病假）,有小组展示，给分似乎还行（）,闭卷，占比百分之四十，但是今年22级考的有点难,90
马克思主义基本原理,吴默闻,慎重，老师给分逐年走低,正常水准，没什么作业,考试闭卷，一次视频，考勤,88
高数c,童欣,巨好，无脑选，冲冲冲,有课后作业，无考勤，有期中考试,学校统一组织的期末考试,92
高等数学C1,周明春,老师讲解很仔细，全部课程内容都有详细版书,签到比较随机，随机的课前随机点名,由课程组进行统一考试,100
中国近现代史纲要,吴向伟,好好好好好，，，，，,课堂随机提问，点到没来的就是没到。有两次小组展示和一篇200字小作文。,统一闭卷考试，，，，，，，,90
c语言程序设计,蒋华,c语言基本知识，课本前七八章的内容,每次都有四五道题的作业，会有一些较难的题目，老师讲课非常清楚非常好，强推！,闭卷考试（包括选择，补全代码，写代码等等）,90
高等数学C,羿旭明,yyds，无脑冲，老师巨好,一周一次，上课不签到不提问,数学与统计学院统一安排考试,97
高等数学B,李光汉,讲授微积分基本知识，老师讲课非常非常认真，解答问题很有耐心，很喜欢光汉老师，只是期末不太捞，作业有亿点点多,偶尔会考勤（期末前），会提问,主要是考试，然后作业，考勤也有占比,89
军理,何华,何华老师上课很热情，慷慨激昂,考勤还行，无签到，有一篇论文当作平时作业，给分很好,全校统一考试，老师给分很良心,95
军事理论与训练,唐蓉,老师讲课内容很丰富，很温柔，但满绩的人很少,有小组展示和期中考试,闭卷考试，会给复习资料,84
线性代数C,张晓平,老师上课非常有激情，讲的很好,无签到，上完一章有一次作业,考试会捞，平时认真写作业就好,90
高等数学B2,胡振忠,老师给分很好，事也很少,一般是没有签到的，除非很多次来的人都很少才会点名，但是最后平时成绩不会因为这个卡你,数院统一出题考试。。z,92
高数,刘会,老师上课节奏很慢，完全可以看PPT,签到会提前说，人很好,有期中考试占比，期中很简单,87
史纲,吴向伟,海底捞大师傅！！真的狠狠捞了感谢老师,上课会随机点名，平时作业要求不高,闭卷考试.......,95
"习近平新时代中国特色社会主义思想概论	",刘新华,讲授习概课程统一内容,签到少，一次小组展示,最后一堂课当堂开学考，考前会给思考题,96
马原,张萌,人美心善非常好非常好,拍微课视频小组展示等等,正常统一闭卷考试 没有区别,92
线代b,陈玉蓉,很不错，讲的很好，老师也很好,一周一次课一次作业，无签到，很少提问,闭卷考试，有期中考试，作业也会关系平时分,88
素质体育2,蔺志华,大傻逼一个，屁事多，给人低,天天搞太极，祝她早点超生,跟其他老师差不多，不过算上太极,74
马克思主义基本原理,谭璇,老师讲解依旧是课本与ppt结合。注重发问引起同学思考回答有加分，老师非常年轻，讲解生动亲近，专业性与趣味性并存，每节课结尾请准备好的同学小论题演讲，给分还算不错，小组作业有个人报告（防摸鱼）和小组报告,有数次签到，不确定，课堂上注重互动提问，一次小组展示，一篇完成小组作业后的个人报告,慕课＋平时表现＋小组作业＋期末考试,90
中国近现代史纲要,李学桃,近代史讲述正常老师比较有趣都说给分很好虽然我只有87,点名 提问 口述历史 共两次pre 红通通论文,慕课，口述历史交结课作业和期末考试,87
高数,黄明,老师上课很认真，期末给分也不错,没签到，没提问，没展示，纯写作业,期末以统一考试方式结课,95
高级英语2,靳奇,是老师自己做的ppt和发的课本没啥关系,无签到但会上课点人念句子 小组展示多,期末笔试占比少 主要都在平时,94
大学英语2,陈洁,老师人很不错，只不过最后不怎么捞人,无点名签到，平时事少,期末考试，口语考试，视听说,80
线性代数A,黄正华,我宣布黄正华是全数院最好的老师,作业比较轻松 不签到 没有别的要求,期末60%+平时40%,96
微积分,黄正华,讲课不错 期末不怎么捞,每周都会有作业，很少签到,闭卷考试啊啊啊啊啊啊啊啊啊,85
高等数学b,胡振忠,挺好，给分高，但是上课氛围差,签到少，没有提问，作业按时完成,学校规定的高等数学考试,90
高等数学A2,湛少锋,老师讲得很透彻，比较严厉，但是真的能学到东西,有签到，但很少，很少提问，但有单元测试并要提交分数,期末考试+平时单元自测+作业+考勤,84
线性代数,陈玉蓉,老师给分很好，但比较严格,没有签到，但会有点名回答问题,期末考核方式为期末考试,97
常微分方程,罗壮初,为人诙谐幽默，很有意思的老师,课堂提交作业作为签到，作业每周都需要写，助教会按等级给分,期末考试考过就行，老师很会捞,96
大学物理B,郝中华,正常授课，老师很温柔，给分不错,每节课拍照签到，时不时提问，每周有作业,考试加上平时成绩，会有线上期中考试,82
线性代数,李小山,老师神中神，很温柔很有耐心,每次课都有作业，作业量适中，都是书本题，不签到,闭卷考试，没有期中考，一次课堂测试,90
高等数学B,程学光,老师讲的还行，就是板书不太清楚，平时分拉满,一般不会点名和签到，作业网上提交，所以可以放心翘掉（bushi,平时分15%+期末75%,79
大学生心理健康,曾翘楚,老师很可爱，课堂内容很丰富，有时会放电影，有时会有小游戏,每次课都考勤，考勤形式会不一样，平时作业适度,开卷考试，。。。。。,88
药学导论,多个老师,讲解药学发展，和研究成果,结课写上课感受几百字,结课就是一篇短小的论文,90
高等数学B2,张灿,老师讲得很水，基本是个PPT reader。,有线下签到，作业量适度但不怎么会批改,参加期末考试，没有其它要求,76
思想道德与法治,李顺彦,加平时成绩的机会还挺多的，但是不知道为什么最后给分很差,偶尔考勤 要拍一个思修微视频,当时是疫情把闭卷考改成开卷考,82
高等数学C2,周明春,老师超级好，很认真，挺幽默,考勤，有作业，平时分给很好,考试加平时分，平时分只要按时到课堂都很好,94
大物b实验,吴昊,实验很水任务很少 速冲,9个实验报告都有签到,可能有考试也可能没考试,94
高数,雷玲,老师讲的特别细，节奏很好,没有点名，提问，平时作业网上交,作业?考试，考试占60,95
高等数学B,杨丽华,老师巨好！只有一次期末考试，平时分很好，讲课也很好,考勤很少，作业正常，没有提问,只有期末考试一次，没有期中,87
微积分（下）,杜光保,讲课很细致，重点突出，老师好,有几次纸质签到，平时作业，没有提问,期末统一的考试，难度适中,96
马克思主义基本原理,吴恺,老师人巨好，属于基本不管你，还什么都会事无巨细提醒你那种,除了报告没有作业，从来不考勤,闭卷考试啊啊啊啊啊啊啊,84
线性代数,胡新启,老师人很好讲的也好，捞的多，但是上课节奏比较快,无签到考勤，作业量正常,期末闭卷考试，有期中,97
马克思主义基本原理,沈云龙,马原，老师给分很不好,签到提问小组作业小作业,期末考试，作业，签到，实践,85
大学物理D,周利,老师人很好，上课比较直接，也很幽默，会直接说哪个考哪个不考,有签到，作业几乎每堂课都有，不过有答案,闭卷考试，然后统一阅卷,94
马原,龚玉敏,老师讲得很好，期末会捞,偶尔签到，有一次小组作业,小组作业、期末考试（全校统一）,90
高数A2,王文祥,高数 老师快退休了给分依托答辩,考勤偶尔传名单签字 平时作业正常的量,统一考试加平时分，平时分占百分之四十,78
高等数学A,马学敏,马老师真的脾气超级好超级温柔,没有签到也没有各种东西 期中考试看心情,期末考试总评达到60以上,88
线性代数b,陈玉蓉,老师讲课认真，对学生负责，有点高中老师的味道。,每周一次作业，交qq群里，期中有一次考试，不难，是把文档发群里然后现场做题，同样是qq群作业里面交。,全校统一考试，给分跟老师个人没关系。,95
高等数学C2,杨乔华,能抓住重点讲，作业少,作业少，有点名不可能代签,全校高数C统一考试要求及格,92
大学物理c(上),祁宁,老师虽然事比较多，但是特别捞人，总评会比卷面分高很多,每次都有变相签到，平时事情比较多,正常的闭卷考试。。。。。,83
大学英语2,夏静宇,带着讲课文，讲每单元的作文技巧，小组pre，夏老师人很好，上课需要很认真，老师会随时点名，不想被点的可以坐后面一点，坐前排真的很容易被点,没有签到，但是会随机提问，基本上每一节课都有，但是不是点名字，是现场点人，分小组，小组一学期1-2次pre很简单，平常只有预习的作业，可能会有听写抽查单词，但是只有最后的大听写才计入平时分，3-4篇作文，时间给的很充裕,考试，没得捞，统一改卷,86
高等数学A,黄学英,老师讲课把握不住重点,有时有上课做题签到，无提问,期末考试考试+平时分,88
高等数学D,黄学英,给分很好，期末会结合往年试卷带大家一起复习,平时作业、一次期中考,考试结课          ,96
线性代数B,孙林林,老师上课内容比较难，但是给分不错,几乎不签到，平时作业少,闭卷考试，，，，，，，，,87
马克思基本原理,吴默闻,这个老师教的比较认真，但是课堂比较无聊，而且给分不好,考勤偶尔会有，平时作业比较少，主要看课堂发言,闭卷考试为主，加上之前的慕课为总成绩,81
大学物理C,王倜,老师上课很好玩，喜欢开玩笑人很好,签到很少，而且很水，他觉得人太少了他就不会签,就是正常的期末考试加平时分,95
线性代数B,饶胜,老师上课真的很一般...几乎全是自学，但是平时分给的不错,签到偶尔，每次有作业要交,根据学习的内容进行考试,96
马克思主义基本原理,龚玉敏,老师非常好，讲课很深入，例子很有趣很深刻，很吸引人。,三次签到，小组作业两次,全校统一的闭卷考试，老师会划重点,93
高等数学A2,胡新启,讲解很认真，也很幽默，但有人觉得不太好懂。,无考勤，有课程作业，需要认真完成,期末考试的形式，其占比很大,96
高等数学C1,周明春,老师讲解很仔细，全部课程内容都有详细版书,签到比较随机，随机的课前随机点名,由课程组进行统一考试,100
高数c ,杨乔华,高数，老师人很好，也很会捞，不卡人,三次点名，每节课都有作业，线上交，但是作业量很少,期末考试，全校统一改卷,100
c语言程序设计,康卓,老师平时分拉满，有问必答,无签到，有三次小作业和一次大作业,统一纸质考试，作业按理来说需要都完成，但是不做老师还是给了平时分,86
线性代数,焦雨领,老师讲课清晰，容易理解,无签到，没提问，期末给分好,你只需要考试就可以了很简单,89
概率论与数理统计,余月力,老师人特别好，讲课认真仔细，期末给分好,作业很少，就是书上的题和往年题,闭卷考试，很多都是往年试题,99
习概,卢丽珠,老师给分差距很大，好好做是可以刷高分的（平时多回答问题，主动报名展示之类的）,每节课签到，会开火车提问，有一次自主报名的展示（如果报了最后给分会很好），一次小组展示（好好做可以拿满分）,开卷，会给题目范围，但是不要买网上的资料，自己去查&结合上课（其实就是最后一节课）的内容答题，直接抄别人出的资料最后分数会很可怕,96
高等数学C2,杨乔华,高等数学下册书本内容,三次签到和平时作业，只要平时作业不超过3次不交一搬没事，有期中考试但是算签到不算卷面分,期末考试。。。。。。。。,98
高等数学B,湛少峰,高等数学，讲的很好 老师很细心,有作业安排，上课情况良好,期末统一闭卷考试，无论文,91
高等数学A2,胡捷,老师很好，讲的很清楚，很负责,对着名单抽人答问题作为签到,平时：期末=4：6，和所有高数A一个标准,83
概率论,袁海丽,概率论知识，老师很好很捞,每节课基本都有作业，但本来就要练题,闭卷考试，全校统一卷子考,95
马原,黄沁茗,事情很少分不错老师也好,三次签到，一次小组展示，基本没有提问,闭卷加上mooc加上考勤,91
线性代数A,黄正华,我宣布黄正华是全数院最好的老师,作业比较轻松 不签到 没有别的要求,期末60%+平时40%,96
中国近现代史,lq,主要讲中国近现代的历史。,没有签到       ,考试               ,89
高数C,杨乔华,讲解高数有关直属，不难，老师人很好,三次点名，每节课都有作业，但是量不多,全校统一考试，电脑阅卷,100
线性代数,焦雨领,老师人很好，讲课认真，宋浩老师讲课清晰，期末无压力，给分很好,无签到，无提问，只有平时作业，一周一交,期末考试全校统考，老师根据考试成绩弹性改变分数占比,89
线代,杜光保,跟着老师的进度走，平常把老师的作业按时完成，期末再刷刷试卷基本就能90+。老师是有教学课、习题课的区分的，习题课不会的题目可以问老师，不会出现群里一直没老师应答的情况,无签到、提问，平时分感觉是按作业提交和期中、期末成绩来给,考试吧，有期中考试，无其他要求,91
线代b,陈玉蓉,很不错，讲的很好，老师也很好,一周一次课一次作业，无签到，很少提问,闭卷考试，有期中考试，作业也会关系平时分,88
高等数学B1,罗壮初,很好，平时作业不多，给分极好，老师半夜还在答疑,无签到（偶尔做题提交签到），不提问,闭卷考试，老实人好，给分好,92
线性代数B,胡新启,老师很好 有水平 讲课挺有趣 但要认真学 有难度,每次都有作业 但作业占比不是很大 不交也没什么关系 基本不可能点到,期中以及期末考试各占一部分比例,95
中国近现代史纲要,赵天鹭,看见赵天鹭冲就完事，分好事少人有趣,除了每个班硬性要求的小组展示之外几乎没有,考试+慕课+平时成绩,93
马克思主义基本原理,向德忠,老师不按课本走，随性讲有时候还讲自己的经历,三次签到，一次小组作业报告或者微电影,期末考试占40%。。。。。。。,91
大物D,周利,老师上课比较自由，偶尔签到,有签到，每章都有作业,闭卷考+期中考...,70
大英2,钱妍,老师人很好，给分也不错！,签了一次，平时有小组作业,平时60%，考试40%,88
高等数学B2,罗壮初,老师很幽默，讲得也很清楚，期末还回带着一起复习,没有提问和签到，正常交作业就好,期末是学院统一的闭卷考试,97
马克思主义基本原理,黄沁茗,事少，给分也算是可以,一次小组展示，上课偶尔签到,期末考试。。。。。。。,85
思想道德与法治,李顺彦,加平时成绩的机会还挺多的，但是不知道为什么最后给分很差,偶尔考勤 要拍一个思修微视频,当时是疫情把闭卷考改成开卷考了,82
马克思主义基本原理,沈云龙,马原，老师把我捞起来了，据说捞了很多，像90，85很多,签到提问小组作业小作业,期末考试，作业，签到，实践,90
微积分下,黄正华,老师讲的很好，教学十分认真，就是比较严格,有作业，无签到，有期中考试,期末统一考试，给分一般,84
c语言程序与设计,康卓,通过PPT讲解c语言程序与设计，,无签到，不提问，无小组展示，一周有小作业，一般不超过五道题，最后有大作业。,笔试写程序，好像是五道题,90
